CallbackDate,UnitNo,MainComponentName,vT1,T2,vT3
2024-12-13 09:54:00,U0012,Controller,30,0,10
2024-08-25 17:52:00,U0012,Drive,30,20,10
2024-06-20 08:15:00,U0012,Other,0,20,0
2024-10-22 22:07:00,U0012,Alarm,10,5,30
2024-12-21 03:49:00,U0013,Alarm,15,15,30
2024-06-13 10:22:00,U0013,Door,5,30,5
2024-09-24 21:59:00,U0013,Door,10,5,5
2024-11-03 02:32:00,U0014,Other,0,20,30
2024-04-19 06:36:00,U0014,Door,30,10,30
2024-03-05 07:32:00,U0014,Door,0,10,0
2024-12-27 12:56:00,U0014,Other,10,5,30
2024-10-09 19:38:00,U0015,Alarm,20,10,20
2024-04-08 11:43:00,U0015,Door,20,0,10
2024-01-23 03:53:00,U0015,Controller,10,5,0
2024-08-21 14:17:00,U0015,Controller,20,0,15
2024-10-18 01:02:00,U0015,Controller,20,15,0
2024-04-10 10:21:00,U0016,Controller,20,20,5
2024-04-18 06:18:00,U0016,Alarm,20,20,30
2024-01-08 00:51:00,U0016,Alarm,20,10,15
2024-06-03 08:46:00,U0016,Other,0,20,0
2024-07-13 18:26:00,U0016,Door,5,30,0
2024-09-11 08:04:00,U0017,Controller,30,15,20
2024-03-14 21:56:00,U0017,Controller,30,20,15
2024-04-11 03:25:00,U0017,Controller,5,10,5
2024-02-24 00:28:00,U0017,Other,5,30,30
2024-05-07 22:53:00,U0018,Controller,10,30,0
2024-12-24 00:04:00,U0018,Controller,10,5,15
2024-01-27 23:47:00,U0018,Other,30,20,10
2024-06-21 20:20:00,U0019,Drive,10,10,0
2024-01-24 11:26:00,U0019,Drive,0,30,15
2024-02-11 04:23:00,U0019,Drive,15,15,0
2024-06-26 04:54:00,U0019,Door,0,20,20
2024-05-17 11:16:00,U0019,Door,30,0,5
2024-12-09 16:27:00,U0019,Other,30,30,15
2024-07-05 03:13:00,U0020,Drive,30,20,20
2024-07-01 02:29:00,U0020,Drive,0,5,20
2024-09-03 10:39:00,U0020,Alarm,20,15,15
2024-01-08 11:24:00,U0021,Door,0,0,20
2024-03-07 18:37:00,U0021,Door,30,30,30
2024-08-25 23:46:00,U0021,Drive,0,15,5
2024-11-22 07:45:00,U0022,Other,30,15,30
2024-08-20 15:38:00,U0022,Drive,15,0,30
2024-04-26 07:00:00,U0022,Other,15,20,30
2024-04-21 20:02:00,U0022,Alarm,5,0,5
2024-01-02 12:15:00,U0022,Controller,5,30,0
2024-11-19 08:02:00,U0023,Other,5,15,0
2024-08-25 22:06:00,U0023,Other,5,5,20
2024-03-20 03:32:00,U0023,Controller,15,0,0
2024-01-18 02:32:00,U0023,Controller,20,20,20
2024-10-26 02:45:00,U0023,Alarm,0,30,20
2024-10-10 21:00:00,U0023,Controller,20,30,5
2024-03-27 14:13:00,U0024,Controller,0,30,30
2024-12-07 03:39:00,U0024,Controller,0,20,20
2024-11-04 07:54:00,U0025,Drive,0,0,10
2024-05-10 09:09:00,U0025,Door,15,20,20
2024-06-25 02:04:00,U0025,Drive,0,0,30
2024-12-25 16:24:00,U0025,Controller,15,15,20
2024-11-07 23:48:00,U0026,Other,0,0,0
2024-12-24 21:08:00,U0026,Drive,15,0,5
2024-10-10 22:08:00,U0026,Door,10,10,10
2024-01-11 05:28:00,U0026,Door,5,30,30
2024-08-25 10:17:00,U0026,Controller,5,0,15
2024-09-01 17:56:00,U0026,Drive,10,10,0
2024-06-26 05:06:00,U0027,Drive,0,10,15
2024-11-11 17:07:00,U0027,Door,15,5,5
2024-09-02 17:15:00,U0027,Controller,15,20,30
2024-11-07 00:45:00,U0028,Door,10,15,30
2024-02-06 19:43:00,U0028,Controller,5,30,30
2024-07-08 00:05:00,U0029,Drive,30,5,30
2024-05-20 20:47:00,U0029,Other,20,5,30
2024-02-20 12:19:00,U0029,Drive,0,0,30
2024-02-18 11:04:00,U0029,Drive,5,20,0
2024-11-17 08:58:00,U0030,Controller,15,5,0
2024-05-10 22:44:00,U0030,Door,5,15,30
2024-02-28 10:20:00,U0030,Other,5,0,15
2024-04-04 11:42:00,U0030,Other,10,10,20
2024-01-28 02:10:00,U0030,Drive,30,30,20
2024-11-09 04:30:00,U0031,Drive,0,0,15
2024-05-21 18:14:00,U0031,Drive,0,0,10
2024-01-09 04:59:00,U0031,Other,10,10,20
2024-12-06 23:16:00,U0031,Drive,10,10,5
2024-11-04 05:18:00,U0032,Other,15,0,5
2024-11-07 12:54:00,U0032,Other,10,5,30
2024-08-09 01:06:00,U0032,Alarm,30,15,10
2024-04-10 14:31:00,U0032,Drive,0,0,15
2024-09-23 12:07:00,U0032,Door,15,15,5
2024-04-14 03:12:00,U0032,Door,0,10,10
2024-08-08 17:03:00,U0033,Other,0,20,5
2024-08-24 19:55:00,U0033,Drive,15,0,0
2024-07-17 16:10:00,U0033,Drive,20,10,5
2024-02-03 14:59:00,U0033,Controller,15,30,5
2024-02-26 10:06:00,U0033,Controller,5,10,30
2024-02-04 15:30:00,U0034,Alarm,10,5,20
2024-01-21 16:57:00,U0034,Controller,0,30,15
2024-11-24 20:14:00,U0034,Drive,15,30,20
2024-03-21 12:51:00,U0034,Door,10,30,0
2024-11-21 07:01:00,U0035,Drive,20,15,30
2024-02-15 01:18:00,U0035,Door,15,5,5
2024-05-24 06:04:00,U0035,Door,15,0,30
2024-03-01 15:14:00,U0035,Door,0,15,10
2024-12-16 06:39:00,U0036,Controller,5,5,15
2024-04-10 14:17:00,U0036,Other,5,10,0
2024-07-06 21:45:00,U0036,Drive,0,20,10
2024-03-08 00:09:00,U0036,Alarm,20,10,20
2024-08-16 22:24:00,U0036,Door,5,10,5
2024-09-04 13:09:00,U0036,Drive,5,20,5
2024-06-25 07:27:00,U0037,Drive,5,0,20
2024-08-26 18:42:00,U0037,Door,5,5,30
2024-05-23 01:27:00,U0037,Door,0,0,10
2024-02-10 05:55:00,U0037,Alarm,5,15,0
2024-09-13 21:41:00,U0037,Alarm,30,20,20
2024-02-15 21:33:00,U0037,Door,20,30,10
2024-09-07 18:57:00,U0038,Door,10,20,15
2024-03-28 08:41:00,U0038,Controller,5,15,10
2024-09-09 02:44:00,U0038,Controller,30,0,20
2024-11-16 10:51:00,U0038,Door,0,15,15
2024-06-22 20:56:00,U0038,Alarm,5,15,10
2024-04-14 06:34:00,U0038,Drive,15,15,5
2024-06-24 12:42:00,U0039,Alarm,15,10,5
2024-04-21 08:07:00,U0039,Door,0,20,5
2024-07-20 02:30:00,U0039,Door,20,15,10
2024-09-12 13:20:00,U0040,Drive,5,15,30
2024-01-22 05:25:00,U0040,Controller,10,0,30
2024-05-27 06:40:00,U0040,Controller,5,30,20
2024-04-12 09:41:00,U0040,Alarm,10,5,0
2024-10-15 18:02:00,U0040,Alarm,5,0,20
2024-09-14 08:01:00,U0040,Controller,0,0,5
2024-12-08 07:11:00,U0041,Drive,10,30,5
2024-01-01 02:12:00,U0041,Drive,5,15,10
2024-09-12 13:47:00,U0042,Drive,15,10,10
2024-01-03 08:05:00,U0042,Door,0,20,0
2024-03-26 10:21:00,U0043,Other,20,15,5
2024-04-20 17:51:00,U0043,Other,0,5,30
2024-07-13 00:14:00,U0043,Drive,10,0,15
2024-02-03 06:50:00,U0043,Controller,30,15,15
2024-10-03 15:36:00,U0044,Alarm,15,5,0
2024-04-19 20:29:00,U0044,Door,5,10,20
2024-07-17 23:03:00,U0044,Door,0,5,30
2024-04-17 20:45:00,U0045,Door,30,15,20
2024-04-06 09:42:00,U0045,Door,10,5,5
2024-04-15 22:45:00,U0046,Alarm,30,30,10
2024-07-11 09:03:00,U0046,Door,20,10,0
2024-01-11 04:11:00,U0047,Controller,30,5,15
2024-01-07 16:45:00,U0047,Door,20,10,30
2024-12-16 02:06:00,U0047,Controller,30,0,20
2024-07-14 08:51:00,U0047,Door,30,20,5
2024-06-28 22:26:00,U0048,Controller,30,10,20
2024-08-25 10:39:00,U0048,Other,0,0,15
2024-02-21 04:02:00,U0048,Other,20,5,0
2024-08-22 09:42:00,U0048,Controller,0,30,10
2024-07-17 12:44:00,U0048,Drive,0,30,30
2024-01-10 21:08:00,U0049,Other,20,0,30
2024-02-11 17:38:00,U0049,Drive,15,5,5
2024-07-25 22:21:00,U0050,Alarm,10,0,5
2024-08-18 08:47:00,U0050,Drive,30,15,15
2024-04-06 09:48:00,U0050,Controller,15,15,30
2024-12-26 06:58:00,U0051,Drive,15,0,20
2024-06-26 08:32:00,U0051,Door,15,30,5
2024-10-11 23:47:00,U0051,Door,10,30,5
2024-01-27 07:36:00,U0052,Drive,10,0,10
2024-10-02 10:14:00,U0052,Other,10,10,10
2024-05-12 12:24:00,U0052,Controller,10,0,5
2024-01-22 20:49:00,U0052,Door,20,5,30
2024-01-24 04:52:00,U0052,Drive,10,10,20
2024-07-14 04:15:00,U0053,Alarm,20,30,10
2024-11-27 05:54:00,U0053,Drive,10,5,30
2024-11-18 01:50:00,U0053,Controller,20,15,10
2024-08-26 23:55:00,U0053,Door,5,30,10
2024-04-03 10:56:00,U0054,Drive,0,0,5
2024-06-03 15:47:00,U0054,Controller,0,5,15
2024-11-13 15:24:00,U0054,Door,10,30,30
2024-10-16 11:46:00,U0054,Door,10,30,10
2024-02-20 16:04:00,U0055,Controller,15,15,15
2024-01-22 06:23:00,U0055,Door,20,10,30
2024-12-28 18:02:00,U0055,Drive,15,20,20
2024-07-01 13:05:00,U0055,Controller,5,20,10
2024-09-26 03:14:00,U0055,Controller,30,20,0
2024-04-12 23:27:00,U0055,Other,5,15,30
2024-07-07 10:32:00,U0056,Drive,30,5,15
2024-09-25 21:55:00,U0056,Door,5,20,15
2024-03-06 20:35:00,U0057,Drive,0,20,10
2024-01-02 00:57:00,U0057,Door,20,30,30
2024-04-17 04:35:00,U0057,Controller,5,5,5
2024-11-15 13:08:00,U0057,Alarm,20,30,10
2024-10-09 06:32:00,U0057,Door,30,15,0
2024-02-25 10:57:00,U0057,Drive,30,5,30
2024-09-09 05:14:00,U0058,Drive,20,5,5
2024-10-24 23:29:00,U0058,Alarm,30,20,30
2024-04-09 13:59:00,U0058,Alarm,20,0,15
2024-08-28 02:57:00,U0059,Drive,20,30,15
2024-03-11 20:13:00,U0059,Controller,20,10,15
2024-04-08 13:22:00,U0060,Drive,20,15,10
2024-05-06 14:05:00,U0060,Controller,5,5,20
2024-06-04 05:26:00,U0060,Controller,15,15,20
2024-08-09 06:30:00,U0061,Door,20,20,5
2024-09-06 11:44:00,U0061,Drive,15,0,15
2024-02-12 10:22:00,U0061,Alarm,30,30,15
2024-11-05 18:35:00,U0061,Controller,0,0,30
2024-08-12 22:58:00,U0061,Door,30,15,15
2024-05-06 21:47:00,U0062,Controller,30,0,30
2024-03-21 12:50:00,U0062,Door,10,20,20
2024-11-08 05:35:00,U0062,Door,20,15,30
2024-03-10 00:39:00,U0062,Drive,10,15,15
2024-08-09 00:22:00,U0062,Drive,20,20,10
2024-11-16 08:24:00,U0062,Drive,20,20,20
2024-01-12 02:23:00,U0063,Alarm,30,20,0
2024-05-11 15:10:00,U0063,Door,30,15,0
2024-02-07 23:51:00,U0063,Door,5,5,10
2024-04-08 08:07:00,U0063,Drive,30,30,0
2024-09-18 02:49:00,U0064,Other,5,15,5
2024-01-24 23:24:00,U0064,Controller,15,0,30
2024-12-25 04:19:00,U0064,Drive,0,0,0
2024-02-02 22:44:00,U0065,Drive,30,5,0
2024-08-06 06:38:00,U0065,Drive,10,30,5
2024-06-04 13:20:00,U0065,Other,15,15,10
2024-04-16 21:45:00,U0066,Other,5,5,5
2024-03-26 23:41:00,U0066,Door,0,15,20
2024-10-22 14:35:00,U0066,Other,20,0,15
2024-08-01 10:42:00,U0066,Controller,15,20,5
2024-01-26 04:31:00,U0066,Controller,5,30,15
2024-12-21 22:32:00,U0067,Drive,0,10,15
2024-12-22 12:46:00,U0067,Drive,30,15,10
2024-08-19 19:10:00,U0067,Other,10,15,5
2024-04-26 19:52:00,U0068,Controller,0,20,30
2024-06-11 17:16:00,U0068,Controller,20,10,5
2024-10-28 08:54:00,U0068,Controller,0,15,0
2024-03-14 18:26:00,U0068,Alarm,10,20,20
2024-12-01 04:06:00,U0069,Drive,15,10,0
2024-10-28 23:51:00,U0069,Door,10,0,30
2024-08-21 01:31:00,U0069,Drive,30,10,5
2024-02-21 11:13:00,U0069,Door,20,20,20
2024-07-25 20:48:00,U0069,Door,10,15,30
2024-07-22 15:07:00,U0070,Other,0,30,5
2024-11-10 17:47:00,U0070,Drive,30,5,10
2024-11-28 07:16:00,U0070,Door,20,0,15
2024-08-01 01:13:00,U0070,Drive,15,20,15
2024-12-10 19:11:00,U0071,Door,5,30,0
2024-11-06 08:21:00,U0071,Alarm,5,5,5
2024-04-09 01:14:00,U0072,Door,5,20,10
2024-02-21 19:54:00,U0072,Door,15,5,0
2024-07-16 21:03:00,U0072,Alarm,30,15,5
2024-11-15 16:12:00,U0072,Controller,10,5,20
2024-11-04 12:56:00,U0072,Controller,5,5,15
2024-08-09 03:35:00,U0073,Door,15,20,10
2024-03-11 11:24:00,U0073,Other,0,5,15
2024-10-10 12:36:00,U0073,Other,20,5,10
2024-01-11 03:18:00,U0073,Door,15,30,10
2024-10-25 21:44:00,U0073,Other,10,15,30
2024-09-28 05:23:00,U0074,Controller,5,20,5
2024-05-10 07:45:00,U0074,Other,20,0,15
2024-01-07 06:32:00,U0074,Controller,20,30,0
2024-11-04 03:12:00,U0075,Controller,30,20,30
2024-11-01 13:05:00,U0075,Door,10,10,20
2024-12-01 11:57:00,U0075,Controller,30,20,20
2024-01-19 05:57:00,U0076,Door,5,0,5
2024-02-09 23:32:00,U0076,Controller,10,30,15
2024-07-23 19:53:00,U0076,Drive,30,15,0
2024-09-05 21:01:00,U0077,Door,0,0,15
2024-10-18 05:23:00,U0077,Controller,30,10,20
2024-03-12 11:16:00,U0077,Other,20,5,5
2024-03-05 18:50:00,U0077,Drive,0,5,10
2024-10-19 15:26:00,U0078,Drive,15,20,0
2024-12-02 04:15:00,U0078,Door,0,5,10
2024-04-25 15:37:00,U0078,Drive,15,15,10
2024-08-25 21:53:00,U0078,Drive,0,15,20
2024-04-02 05:12:00,U0078,Controller,0,10,0
2024-06-25 20:05:00,U0078,Drive,15,10,0
2024-08-08 05:19:00,U0079,Controller,15,10,0
2024-12-17 05:37:00,U0079,Door,0,15,0
2024-12-21 20:50:00,U0079,Alarm,0,10,20
2024-01-11 16:47:00,U0079,Drive,30,30,5
2024-09-13 21:13:00,U0079,Drive,15,10,30
2024-08-03 14:00:00,U0079,Drive,30,5,30
2024-02-07 17:43:00,U0080,Door,10,10,10
2024-04-09 10:14:00,U0080,Controller,0,15,15
2024-12-28 04:05:00,U0080,Door,0,0,20
2024-04-09 03:24:00,U0080,Other,20,30,15
2024-05-07 15:36:00,U0080,Drive,15,10,0
2024-08-05 15:27:00,U0081,Drive,5,30,30
2024-01-23 23:02:00,U0081,Drive,30,0,0
2024-06-08 18:46:00,U0081,Drive,10,10,5
2024-12-27 22:52:00,U0081,Door,10,5,15
2024-08-06 02:34:00,U0081,Drive,30,15,5
2024-11-05 08:45:00,U0081,Controller,0,0,15
2024-11-08 01:55:00,U0082,Drive,10,0,10
2024-10-11 23:50:00,U0082,Alarm,20,20,15
2024-09-07 06:30:00,U0083,Drive,30,10,5
2024-06-12 18:14:00,U0083,Controller,20,10,30
2024-09-05 13:27:00,U0083,Door,30,20,5
2024-01-18 03:49:00,U0083,Door,30,30,15
2024-06-17 22:59:00,U0083,Controller,20,20,15
2024-09-10 22:02:00,U0083,Drive,10,15,10
2024-12-15 22:19:00,U0084,Other,15,10,0
2024-06-24 07:50:00,U0084,Controller,15,30,30
2024-11-09 22:01:00,U0084,Controller,10,20,0
2024-06-14 19:33:00,U0085,Drive,30,10,5
2024-06-11 23:50:00,U0085,Controller,30,30,5
2024-08-04 08:57:00,U0085,Drive,15,0,30
2024-03-11 14:18:00,U0085,Alarm,15,5,10
2024-11-06 11:17:00,U0086,Alarm,0,30,5
2024-06-02 01:27:00,U0086,Other,15,5,5
2024-06-17 08:28:00,U0086,Drive,20,15,20
2024-01-13 12:50:00,U0087,Door,0,30,10
2024-02-25 04:43:00,U0087,Door,0,20,30
2024-04-07 21:36:00,U0087,Drive,20,5,10
2024-02-07 07:14:00,U0087,Alarm,15,20,20
2024-02-02 16:41:00,U0088,Controller,20,0,20
2024-08-04 14:19:00,U0088,Drive,15,10,0
2024-04-04 12:15:00,U0088,Door,30,15,5
2024-06-19 20:02:00,U0088,Door,20,20,10
2024-08-25 14:00:00,U0089,Controller,0,30,15
2024-08-08 05:49:00,U0089,Controller,20,15,20
2024-07-06 03:16:00,U0089,Alarm,30,15,0
2024-05-15 22:00:00,U0089,Other,0,0,0
2024-06-01 16:29:00,U0090,Door,10,30,10
2024-09-12 05:06:00,U0090,Other,20,20,15
2024-02-12 17:13:00,U0090,Door,5,15,10
2024-10-20 08:18:00,U0091,Controller,0,20,30
2024-06-27 21:34:00,U0091,Drive,30,10,5
2024-06-22 10:10:00,U0091,Alarm,15,0,10
2024-04-13 21:12:00,U0091,Drive,30,20,15
2024-07-09 22:29:00,U0092,Drive,5,10,30
2024-01-01 10:43:00,U0092,Door,15,30,0
2024-08-18 06:34:00,U0092,Door,5,0,30
2024-03-23 20:32:00,U0092,Drive,5,30,20
2024-11-17 09:35:00,U0093,Other,20,5,30
2024-08-24 04:17:00,U0093,Controller,10,10,30
2024-04-18 18:53:00,U0093,Other,5,30,15
2024-10-05 11:31:00,U0094,Alarm,15,20,5
2024-01-21 02:39:00,U0094,Other,20,0,20
2024-12-17 08:51:00,U0094,Alarm,0,5,20
2024-01-01 07:28:00,U0094,Controller,0,30,15
2024-04-28 10:57:00,U0095,Drive,30,10,20
2024-01-05 02:58:00,U0095,Door,0,0,20
2024-12-04 22:18:00,U0095,Drive,30,10,10
2024-12-03 14:38:00,U0095,Other,10,20,0
2024-01-24 09:05:00,U0095,Door,30,20,15
2024-10-20 04:24:00,U0095,Other,30,20,15
2024-08-27 07:17:00,U0096,Drive,10,30,20
2024-04-05 12:02:00,U0096,Controller,5,0,5
2024-08-26 16:22:00,U0096,Drive,20,15,0
2024-10-25 22:22:00,U0096,Alarm,15,5,5
2024-06-16 21:59:00,U0096,Alarm,15,5,20
2024-07-06 16:13:00,U0097,Door,5,30,30
2024-04-12 03:16:00,U0097,Controller,10,10,30
2024-02-16 18:37:00,U0097,Door,5,10,15
2024-05-09 04:35:00,U0098,Alarm,20,20,20
2024-11-05 05:18:00,U0098,Alarm,30,0,30
2024-08-14 22:27:00,U0099,Alarm,5,0,5
2024-07-06 04:20:00,U0099,Door,5,30,15
2024-07-09 05:46:00,U0099,Drive,20,5,5
2024-08-19 14:41:00,U0099,Door,20,15,0
2024-01-28 01:56:00,U0099,Drive,30,20,0
2024-07-07 09:40:00,U0100,Alarm,30,20,5
2024-10-06 11:06:00,U0100,Controller,15,0,30
2024-03-23 08:35:00,U0100,Door,30,0,0
2024-10-28 06:15:00,U0100,Other,5,0,10
2024-05-27 15:11:00,U0100,Drive,10,0,10
2024-08-08 23:26:00,U0100,Drive,0,5,0
2024-06-24 22:31:00,U0101,Drive,0,5,5
2024-06-02 12:26:00,U0101,Door,30,20,15
2024-05-14 16:47:00,U0102,Drive,15,30,15
2024-10-25 15:17:00,U0102,Controller,5,15,15
2024-04-22 06:29:00,U0102,Drive,20,5,20
2024-02-03 13:00:00,U0103,Controller,0,10,30
2024-08-21 06:30:00,U0103,Drive,5,10,15
2024-12-21 06:09:00,U0103,Alarm,30,15,30
2024-01-22 12:28:00,U0103,Door,30,10,20
2024-10-08 04:03:00,U0103,Door,30,0,10
2024-01-26 17:44:00,U0103,Door,5,0,0
2024-05-01 11:45:00,U0104,Alarm,5,20,15
2024-11-17 03:07:00,U0104,Alarm,20,15,10
2024-08-13 07:24:00,U0105,Drive,5,10,15
2024-11-23 12:33:00,U0105,Alarm,20,10,0
2024-10-02 08:55:00,U0105,Controller,5,5,15
2024-07-25 11:09:00,U0105,Controller,20,20,5
2024-07-05 07:07:00,U0105,Other,20,0,15
2024-01-20 09:58:00,U0106,Door,20,15,30
2024-02-04 03:25:00,U0106,Other,10,20,30
2024-07-12 15:05:00,U0107,Drive,0,0,5
2024-09-08 02:35:00,U0107,Controller,5,20,20
2024-03-10 13:28:00,U0108,Alarm,10,20,5
2024-06-27 18:47:00,U0108,Other,0,20,30
2024-05-20 03:06:00,U0109,Drive,15,0,20
2024-12-07 23:55:00,U0109,Controller,10,30,15
2024-05-06 00:18:00,U0109,Controller,15,20,10
2024-05-18 20:32:00,U0109,Door,0,0,20
2024-08-11 03:20:00,U0109,Drive,20,20,10
2024-06-08 16:17:00,U0110,Door,20,20,5
2024-07-15 19:51:00,U0110,Drive,5,5,20
2024-11-05 17:00:00,U0110,Alarm,0,10,30
2024-03-12 19:59:00,U0110,Door,5,15,15
2024-12-21 21:51:00,U0111,Drive,0,5,15
2024-11-21 13:02:00,U0111,Controller,5,15,15
2024-11-14 21:44:00,U0111,Drive,20,30,30
2024-07-22 16:25:00,U0112,Door,5,15,5
2024-09-25 17:29:00,U0112,Drive,0,0,5
2024-11-24 17:11:00,U0112,Drive,10,10,15
2024-08-11 11:51:00,U0112,Drive,5,20,30
2024-03-03 18:33:00,U0113,Drive,5,15,10
2024-02-17 22:35:00,U0113,Drive,5,10,10
2024-05-03 12:58:00,U0113,Door,0,15,5
2024-08-01 20:24:00,U0114,Door,0,0,5
2024-07-09 18:06:00,U0114,Drive,15,30,15
2024-10-22 07:28:00,U0114,Controller,10,5,0
2024-06-19 03:48:00,U0114,Other,20,0,30
2024-12-19 22:31:00,U0114,Alarm,20,5,15
2024-09-15 12:10:00,U0115,Drive,5,0,30
2024-10-26 20:21:00,U0115,Alarm,20,15,5
2024-05-19 01:59:00,U0115,Controller,20,10,20
2024-01-11 23:59:00,U0116,Door,30,10,30
2024-05-14 14:28:00,U0116,Alarm,15,15,20
2024-02-23 03:15:00,U0117,Controller,30,30,30
2024-12-05 06:31:00,U0117,Door,30,10,5
2024-06-24 01:40:00,U0117,Door,5,0,5
2024-08-03 00:01:00,U0117,Drive,15,30,15
2024-02-14 04:49:00,U0118,Door,0,20,15
2024-04-11 15:26:00,U0118,Door,15,0,30
2024-09-01 19:50:00,U0118,Drive,15,5,5
2024-06-01 01:54:00,U0118,Drive,15,15,30
2024-08-12 18:24:00,U0118,Alarm,20,10,0
2024-07-21 19:04:00,U0118,Drive,15,20,20
